Hispanic_Origin	Race	Year	ICD10.130.Infants	ICD10.Code	Deaths	Population	Crude_Rate
Not Hispanic or Latino	Black or African American	1999	Certain infectious and parasitic diseases (A00-B99)	GR130-001	183	568719	32.2
Not Hispanic or Latino	Black or African American	1999	Certain intestinal infectious diseases (A00-A08)	GR130-002	5	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Tuberculosis (A16-A19)	GR130-004	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Whooping cough (A37)	GR130-007	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Meningococcal infection (A39)	GR130-008	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Septicemia (A40-A41)	GR130-009	106	568719	18.6
Not Hispanic or Latino	Black or African American	1999	Viral diseases (A80-B34)	GR130-012	41	568719	7.2
Not Hispanic or Latino	Black or African American	1999	#Measles (B05)	GR130-015	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Human immunodeficiency virus (HIV) disease (B20-B24)	GR130-016	9	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	31	568719	5.5
Not Hispanic or Latino	Black or African American	1999	#Candidiasis (B37)	GR130-019	11	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Malaria (B50-B54)	GR130-020	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Pneumocystosis (B59)	GR130-021	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)"	GR130-022	14	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Neoplasms (C00-D48)	GR130-023	25	568719	4.4
Not Hispanic or Latino	Black or African American	1999	#Malignant neoplasms (C00-C97)	GR130-024	11	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Hodgkin's disease and non-Hodgkin's lymphomas (C81-C85)	GR130-025	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Leukemia (C91-C95)	GR130-026	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	7	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	14	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	31	568719	5.5
Not Hispanic or Latino	Black or African American	1999	Anemias (D50-D64)	GR130-030	3	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	22	568719	3.9
Not Hispanic or Latino	Black or African American	1999	Certain disorders involving the immune mechanism (D80-D89)	GR130-032	6	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	68	568719	12
Not Hispanic or Latino	Black or African American	1999	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	6	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Nutritional deficiencies (E40-E64)	GR130-035	4	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	29	568719	5.1
Not Hispanic or Latino	Black or African American	1999	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	29	568719	5.1
Not Hispanic or Latino	Black or African American	1999	Diseases of the nervous system (G00-G98)	GR130-039	104	568719	18.3
Not Hispanic or Latino	Black or African American	1999	"#Meningitis (G00,G03)"	GR130-040	40	568719	7
Not Hispanic or Latino	Black or African American	1999	"#Infantile spinal muscular atrophy, type I (Werdnig-Hoffman) (G12.0)"	GR130-041	5	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Infantile cerebral palsy (G80)	GR130-042	7	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"#Anoxic brain damage, not elsewhere classified (G93.1)"	GR130-043	12	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	40	568719	7
Not Hispanic or Latino	Black or African American	1999	#Diseases of the circulatory system (I00-I99)	GR130-046	175	568719	30.8
Not Hispanic or Latino	Black or African American	1999	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	57	568719	10
Not Hispanic or Latino	Black or African American	1999	"Pericarditis, endocarditis and myocarditis (I30,I33,I40)"	GR130-048	8	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Cardiomyopathy (I42)	GR130-049	29	568719	5.1
Not Hispanic or Latino	Black or African American	1999	Cardiac arrest (I46)	GR130-050	10	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Cerebrovascular diseases (I60-I69)	GR130-051	27	568719	4.7
Not Hispanic or Latino	Black or African American	1999	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	44	568719	7.7
Not Hispanic or Latino	Black or African American	1999	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	248	568719	43.6
Not Hispanic or Latino	Black or African American	1999	#Acute upper respiratory infections (J00-J06)	GR130-054	3	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Influenza and pneumonia (J09-J18)	GR130-055	114	568719	20
Not Hispanic or Latino	Black or African American	1999	Influenza (J09-J11)	GR130-056	4	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Pneumonia (J12-J18)	GR130-057	110	568719	19.3
Not Hispanic or Latino	Black or African American	1999	#Acute bronchitis and acute bronchiolitis (J20-J21)	GR130-058	24	568719	4.2
Not Hispanic or Latino	Black or African American	1999	"#Bronchitis, chronic and unspecified (J40-J42)"	GR130-059	7	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Asthma (J45-J46)	GR130-060	4	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Pneumonitis due to solids and liquids (J69)	GR130-061	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	94	568719	16.5
Not Hispanic or Latino	Black or African American	1999	Diseases of the digestive system (K00-K92)	GR130-063	174	568719	30.6
Not Hispanic or Latino	Black or African American	1999	"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)"	GR130-064	94	568719	16.5
Not Hispanic or Latino	Black or African American	1999	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	13	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	67	568719	11.8
Not Hispanic or Latino	Black or African American	1999	Diseases of the genitourinary system (N00-N95)	GR130-067	66	568719	11.6
Not Hispanic or Latino	Black or African American	1999	"#Renal failure and other disorders of kidney (N17-N19,N25,N27)"	GR130-068	58	568719	10.2
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	8	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	4963	568719	872.7
Not Hispanic or Latino	Black or African American	1999	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	941	568719	165.5
Not Hispanic or Latino	Black or African American	1999	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	25	568719	4.4
Not Hispanic or Latino	Black or African American	1999	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	25	568719	4.4
Not Hispanic or Latino	Black or African American	1999	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	486	568719	85.5
Not Hispanic or Latino	Black or African American	1999	Newborn affected by incompetent cervix (P01.0)	GR130-075	128	568719	22.5
Not Hispanic or Latino	Black or African American	1999	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	232	568719	40.8
Not Hispanic or Latino	Black or African American	1999	Newborn affected by multiple pregnancy (P01.5)	GR130-077	85	568719	14.9
Not Hispanic or Latino	Black or African American	1999	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	41	568719	7.2
Not Hispanic or Latino	Black or African American	1999	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	349	568719	61.4
Not Hispanic or Latino	Black or African American	1999	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	156	568719	27.4
Not Hispanic or Latino	Black or African American	1999	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	19	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Newborn affected by chorioamnionitis (P02.7)	GR130-082	174	568719	30.6
Not Hispanic or Latino	Black or African American	1999	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	35	568719	6.2
Not Hispanic or Latino	Black or African American	1999	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	21	568719	3.7
Not Hispanic or Latino	Black or African American	1999	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	1860	568719	327.1
Not Hispanic or Latino	Black or African American	1999	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	24	568719	4.2
Not Hispanic or Latino	Black or African American	1999	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	1836	568719	322.8
Not Hispanic or Latino	Black or African American	1999	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	1413	568719	248.5
Not Hispanic or Latino	Black or African American	1999	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	423	568719	74.4
Not Hispanic or Latino	Black or African American	1999	#Birth trauma (P10-P15)	GR130-092	5	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	152	568719	26.7
Not Hispanic or Latino	Black or African American	1999	Intrauterine hypoxia (P20)	GR130-094	35	568719	6.2
Not Hispanic or Latino	Black or African American	1999	Birth asphyxia (P21)	GR130-095	117	568719	20.6
Not Hispanic or Latino	Black or African American	1999	#Respiratory distress of newborn (P22)	GR130-096	362	568719	63.7
Not Hispanic or Latino	Black or African American	1999	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	520	568719	91.4
Not Hispanic or Latino	Black or African American	1999	#Congenital pneumonia (P23)	GR130-098	24	568719	4.2
Not Hispanic or Latino	Black or African American	1999	#Neonatal aspiration syndromes (P24)	GR130-099	21	568719	3.7
Not Hispanic or Latino	Black or African American	1999	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	57	568719	10
Not Hispanic or Latino	Black or African American	1999	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	86	568719	15.1
Not Hispanic or Latino	Black or African American	1999	#Chronic respiratory disease originating in the perinatal period (P27)	GR130-102	129	568719	22.7
Not Hispanic or Latino	Black or African American	1999	#Atelectasis (P28.0-P28.1)	GR130-103	179	568719	31.5
Not Hispanic or Latino	Black or African American	1999	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	24	568719	4.2
Not Hispanic or Latino	Black or African American	1999	Infections specific to the perinatal period (P35-P39)	GR130-105	304	568719	53.5
